,Smiles,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,HeavyAtomMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BertzCT,Chi0,Chi0n,Chi0v,Chi1n,Chi2v,Chi3n,Chi3v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA5,SMR_VSA7,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NOCount,NumAliphaticRings,NumAromaticCarbocycles,MolLogP,fr_amide,fr_benzene,fr_ketone,fr_ketone_Topliss,BDE
0,O=C(NCCCCCCNC(=O)ON=C1CCCCC1)ON=C1CCCCC1,-0.484193291,11.55930081,0.484193291,0.337782814,360.244,158,0.432847936,-0.319588986,0.432847936,0.319588986,0.642857143,1.035714286,1.428571429,16.68080242,9.988876759,2.094575484,-2.109141343,2.151639797,-2.248531203,5.852477255,0.148194845,484.323776,19.86575026,16.84112885,16.84112885,10.75017889,7.461606157,5.018964358,5.018964358,-2.12,2198164.351,22.17208298,13.95990284,10.27527397,10.63357721,0,9.675177167,9.589074368,35.99471195,64.20821623,13.08951281,11.42337001,19.26425154,23.60985015,10.63357721,89.89150272,0,9.589074368,0,36.69936296,9.675177167,89.89150272,10.31142545,101.38,12.18648014,9.589074368,0,13.08951281,12.84164325,0,0,20.94500266,0,32.88982068,13.2674883,1.967706296,0,0,13.40941235,1.132239038,0,0.8,8,2,0,4.6394,2,0,0,0,41.42005257
1,CC(C)=NOC(=O)Nc1ccccc1,-0.585740741,11.07648526,0.585740741,0.444565393,180.122,74,0.43733021,-0.297868824,0.43733021,0.297868824,1.285714286,1.928571429,2.5,16.67699531,10.31072227,2.002966033,-2.009525808,2.045658693,-2.105227533,5.853894944,0.166078483,329.2350519,10.38890506,8.150461522,8.150461522,4.225112877,2.908270664,1.331317787,1.331317787,-1.84,1392.864834,10.24223684,5.012486407,3.709251258,0,0,10.15437719,4.794537184,23.35481393,25.98020854,5.687386275,5.711685003,9.632125768,17.49231135,0,13.8474744,30.33183534,10.48192346,0,11.80492507,4.837588584,13.8474744,35.48754807,50.69,6.093240071,4.794537184,0,11.39907128,0,25.98020854,18.19910121,15.31008991,0,15.62177343,6.054311697,1.370062778,0,9.047931836,-0.585740741,3.491660998,0,0.2,4,0,1,2.6309,1,1,0,0,42.73092096
2,CC(C)=NOC(=O)Nc1ccc(Cl)cc1,-0.626368103,11.12842687,0.604959373,0.478003096,215.575,80,0.437330222,-0.297868824,0.437330222,0.297868824,1.333333333,1.933333333,2.466666667,35.49569109,10.30574934,2.013842908,-2.018296016,2.128597373,-2.105886966,6.30180499,0.166078074,369.5137077,11.25914855,8.451075726,9.207004672,4.324778716,3.485574065,1.401750389,1.653726704,-1.55,2001.464545,11.52434944,5.360304513,4.464893145,0,0,10.15437719,4.794537184,16.75665262,38.11294267,10.71001959,5.711685003,9.632125768,29.09325124,0,13.8474744,29.28810159,10.48192346,11.60093989,11.80492507,4.837588584,13.8474744,29.421181,50.69,6.093240071,4.794537184,0,16.42170459,0,38.11294267,0,15.31008991,0,15.67096915,6.622105834,1.272789116,0,6.689718128,-0.626368103,3.463433266,0,0.2,4,0,1,3.2843,1,1,0,0,43.4111418
3,CC(C)=NOC(=O)Nc1cc(Cl)ccc1Cl,-0.717253086,11.23828168,0.373657407,0.497664618,251.028,86,0.437380461,-0.297868228,0.437380461,0.297868228,1.375,2.0625,2.6875,35.49678713,10.29869015,2.066240129,-2.04900277,2.248694937,-2.111828289,6.351796764,0.166078949,428.827248,12.12939203,8.75168993,10.26354782,4.430427619,4.01004939,1.476267326,2.04095265,-1.26,2918.649689,12.80784261,5.723099442,4.082142093,0,0,10.15437719,4.794537184,28.35759251,32.0465756,5.022633314,16.42170459,9.632125768,40.69419113,0,13.8474744,28.24436783,10.48192346,23.20187978,11.80492507,4.837588584,13.8474744,23.35481393,50.69,6.093240071,4.794537184,0,21.4443379,6.066367068,25.98020854,0,15.31008991,0,15.77671548,6.764201048,1.009688716,0,4.718504871,-0.717253086,3.415959695,0,0.2,4,0,1,3.9377,1,1,0,0,44.48794896
4,CC(C)=NOC(=O)Nc1cccc(Cl)c1,-0.640308642,11.14470144,0.544419774,0.478003096,215.575,80,0.437331017,-0.297868819,0.437331017,0.297868819,1.466666667,2.2,2.8,35.4956911,10.30533478,2.01949806,-2.021517623,2.143440752,-2.106473044,6.304340857,0.166079302,386.7637077,11.25914855,8.451075726,9.207004672,4.324778716,3.489028389,1.382146233,1.617243336,-1.55,1926.634109,11.52434944,5.360304513,4.464893145,0,0,10.15437719,4.794537184,22.82301969,32.0465756,10.71001959,5.711685003,9.632125768,29.09325124,0,13.8474744,29.28810159,10.48192346,11.60093989,11.80492507,4.837588584,13.8474744,29.421181,50.69,6.093240071,4.794537184,0,16.42170459,0,38.11294267,0,15.31008991,0,15.68677721,6.54456197,1.229352044,0,6.763579197,-0.640308642,3.457669228,0,0.2,4,0,1,3.2843,1,1,0,0,43.63641789
5,CC(C)=NOC(=O)Nc1cccc(C)c1,-0.581666667,11.18778534,0.581666667,0.45918379,192.133,80,0.437330364,-0.297868823,0.437330364,0.297868823,1.4,2.133333333,2.733333333,16.67699782,10.20375619,2.014861886,-2.027722919,2.090636973,-2.107844071,5.855556656,0.166078367,381.9292408,11.25914855,9.073111253,9.073111253,4.635796479,3.411724987,1.575601915,1.575601915,-1.84,1926.634109,11.23598784,5.143128759,4.262716243,0,0,10.15437719,4.794537184,17.28844686,38.46739723,5.687386275,5.711685003,9.632125768,17.49231135,0,20.7712116,29.82891977,10.48192346,0,11.80492507,4.837588584,19.41092589,29.421181,50.69,6.093240071,4.794537184,0,11.39907128,0,19.91384147,25.12283841,15.31008991,0,15.77294501,6.117572751,2.459557141,0,7.449103888,-0.581666667,5.449154541,0,0.272727273,4,0,1,2.93932,1,1,0,0,42.49183965
6,CNC(=O)ON=C(c1ccccc1)c1ccccc1,-0.593183107,11.13847191,0.593183107,0.519922384,240.177,96,0.432607783,-0.322657893,0.432607783,0.322657893,0.947368421,1.421052632,1.842105263,16.67695463,10.02858788,2.078234339,-2.05822198,2.106357504,-2.176354583,6.122406138,0.153022869,523.7141501,13.50178923,10.53721287,10.53721287,5.885796479,3.80068927,2.518418292,2.518418292,-2.62,28502.65625,12.82705699,6.349710764,3.418564513,5.316788604,5.711685003,4.837588584,4.794537184,65.81938341,0,18.17457497,0,9.632125768,11.80492507,5.316788604,0,71.79057367,4.794537184,0,18.85259706,4.837588584,11.12690298,65.81938341,50.69,6.093240071,4.794537184,0,5.711685003,7.047671983,0,60.66367068,10.47250133,0,15.93853899,6.294597191,2.388894558,0,19.1491673,-0.593183107,0,1.488651738,0.066666667,4,0,2,2.795,1,2,0,0,40.98016806
7,CC(C)=NOC(=O)Nc1ccc(F)cc1,-0.705733182,12.51220226,0.364499244,0.46323402,199.12,80,0.437330234,-0.297868824,0.437330234,0.297868824,1.333333333,1.933333333,2.466666667,19.14214114,10.29558032,2.01672167,-2.015497178,2.078163745,-2.106941506,5.854085882,0.166072111,369.5137077,11.25914855,8.451075726,8.451075726,4.324778716,3.049138285,1.401750389,1.401750389,-1.91,2001.464545,11.16639419,5.091025446,4.214290876,0,5.817220841,10.15437719,9.184952232,5.155712727,38.11294267,5.687386275,5.711685003,14.02254082,17.49231135,0,13.8474744,30.08268911,14.87233851,0,11.80492507,4.837588584,13.8474744,29.421181,50.69,6.093240071,9.184952232,5.817220841,11.39907128,24.26546827,13.8474744,0,15.31008991,12.51220226,15.54944137,5.858347191,1.078344671,-0.364499244,5.339409486,-0.705733182,3.399154111,0,0.2,4,0,1,2.77,1,1,0,0,42.86395308
8,O=C(Nc1ccc(F)cc1)ON=C1CCCCC1,-0.653072562,12.64920604,0.350587016,0.642402683,235.153,96,0.437330554,-0.297847808,0.437330554,0.297847808,1.166666667,1.833333333,2.5,19.14214204,9.988880563,2.08684502,-2.106311265,2.148322778,-2.129320079,5.873568906,0.165334479,434.8093956,12.79468245,9.986609632,9.986609632,6.031885497,4.228812627,2.778989227,2.778989227,-1.91,15150.60801,12.54441457,6.139313265,3.835208362,0,5.817220841,10.15437719,9.184952232,11.57653435,49.94875477,5.687386275,5.711685003,14.02254082,17.49231135,0,32.10410811,30.08268911,14.87233851,0,11.80492507,4.837588584,32.10410811,29.421181,50.69,6.093240071,9.184952232,5.817220841,5.687386275,30.6862899,0,0,10.47250133,12.64920604,16.165702,6.301177406,1.403472485,-0.350587016,5.458306665,4.539389084,0,0,0.384615385,4,1,1,3.6943,1,1,0,0,38.67908889
9,CC(C)(C)C1CCC(=NOC(=O)c2ccc([N+](=O)[O-])cc2)CC1,-0.592275172,11.89291179,0.061697812,0.471237229,296.197,124,0.365223803,-0.31287272,0.365223803,0.31287272,1.217391304,1.782608696,2.260869565,16.66673447,9.719080442,2.279133961,-2.334987608,2.364057656,-2.25642,5.907980173,-0.384441173,604.4756924,17.03516943,13.74259882,13.74259882,7.786830145,6.980542338,4.358983439,4.358983439,-2.24,108836.6586,17.11919929,6.894322913,4.612345775,4.837588584,0,10.11431827,4.794537184,25.92692433,49.14891714,12.13273414,16.19844754,14.55543682,17.36837657,0,46.45449809,39.94323803,5.687386275,0,16.60430134,4.837588584,56.81248677,29.421181,81.8,10.89261634,14.90885545,11.25083777,11.33289652,24.26546827,0,0,25.92692433,0,26.92875769,14.5455962,1.387487547,0.066821163,5.296489245,3.791455631,6.733392516,0,0.529411765,6,1,1,4.3439,0,1,0,0,41.71247223
