,Smiles,acetoxy_radical,iminyl_radical,free_radical,BDE
0,O=C(NCCCCCCNC(=O)ON=C1CCCCC1)ON=C1CCCCC1,[O]C(=O)NCCCCCCNC(=O)ON=C1CCCCC1,[N]=C1CCCCC1,[NH]CCCCCCNC(=O)ON=C1CCCCC1,41.420052570079655
1,CC(C)=NOC(=O)Nc1ccccc1,[O]C(=O)Nc1ccccc1,CC(C)=[N],[NH]c1ccccc1,42.731548469978726
2,CC(C)=NOC(=O)Nc1ccc(Cl)cc1,[O]C(=O)Nc1ccc(Cl)cc1,CC(C)=[N],[NH]c1ccc(Cl)cc1,43.41114179997507
3,CC(C)=NOC(=O)Nc1cc(Cl)ccc1Cl,[O]C(=O)Nc1cc(Cl)ccc1Cl,CC(C)=[N],[NH]c1cc(Cl)ccc1Cl,44.4879489599673
4,CC(C)=NOC(=O)Nc1cccc(Cl)c1,[O]C(=O)Nc1cccc(Cl)c1,CC(C)=[N],[NH]c1cccc(Cl)c1,43.63641788990568
5,CC(C)=NOC(=O)Nc1cccc(C)c1,Cc1cccc(NC([O])=O)c1,CC(C)=[N],[NH]c1cccc(C)c1,42.49183965001322
7,CNC(=O)ON=C(c1ccccc1)c1ccccc1,CNC([O])=O,[N]=C(c1ccccc1)c1ccccc1,[NH]C,40.98016806004882
8,CC(C)=NOC(=O)Nc1ccc(F)cc1,[O]C(=O)Nc1ccc(F)cc1,CC(C)=[N],[NH]c1ccc(F)cc1,42.86395308007248
10,CC(C)(C)C1CCC(=NOC(=O)c2ccc([N+](=O)[O-])cc2)CC1,[O]C(=O)c1ccc([N+](=O)[O-])cc1,CC(C)(C)C1CCC(=[N])CC1,[c]1ccc([N+](=O)[O-])cc1,41.71247222991208
11,CC(C)(C)C1CCC(=NOC(=O)c2cccc([N+](=O)[O-])c2)CC1,[O]C(=O)c1cccc([N+](=O)[O-])c1,CC(C)(C)C1CCC(=[N])CC1,[c]1cccc([N+](=O)[O-])c1,40.25162895003338
12,O=C1C=CC(=NOC(=O)c2cccc([N+](=O)[O-])c2)C=C1,[O]C(=O)c1cccc([N+](=O)[O-])c1,[N]=C1C=CC(=O)C=C1,[c]1cccc([N+](=O)[O-])c1,46.93900301998553
13,O=C(Nc1ccccc1)ON=C1CCCC1,[O]C(=O)Nc1ccccc1,[N]=C1CCCC1,[NH]c1ccccc1,42.66691493999923
15,O=C(ON=C1CCCCCCCCCCC1)c1cccs1,[O]C(=O)c1cccs1,[N]=C1CCCCCCCCCCC1,[c]1cccs1,44.98556439006639
18,CC(C)=NOC(=O)Nc1ccc(Cl)c(Cl)c1,[O]C(=O)Nc1ccc(Cl)c(Cl)c1,CC(C)=[N],[NH]c1ccc(Cl)c(Cl)c1,44.05935962997929
20,CC(C)c1cccc(C(C)C)c1NC(=O)ON=C1CCCCC1,CC(C)c1cccc(C(C)C)c1NC([O])=O,[N]=C1CCCCC1,[NH]c1c(C(C)C)cccc1C(C)C,42.10592100006015
21,CCc1cccc(C)c1NC(=O)ON=C(C)C,CCc1cccc(C)c1NC([O])=O,CC(C)=[N],[NH]c1c(C)cccc1CC,40.71473133000559
22,Cc1ccc(NC(=O)ON=C2CCCCC2)cc1Cl,Cc1ccc(NC([O])=O)cc1Cl,[N]=C1CCCCC1,[NH]c1ccc(C)c(Cl)c1,42.62675430010063
23,CC(C)=NOC(=O)Nc1cccc([N+](=O)[O-])c1,[O]C(=O)Nc1cccc([N+](=O)[O-])c1,CC(C)=[N],[NH]c1cccc([N+](=O)[O-])c1,45.33257742004635
24,Cc1cc(Cl)ccc1NC(=O)ON=C1CCCCC1,Cc1cc(Cl)ccc1NC([O])=O,[N]=C1CCCCC1,[NH]c1ccc(Cl)cc1C,42.18498725993187
