,Smiles,acetoxy_radical,iminyl_radical,free_radical,BDE,integral,log_integral,decarboxylation_enthalpy
0,O=C(NCCCCCCNC(=O)ON=C1CCCCC1)ON=C1CCCCC1,[O]C(=O)NCCCCCCNC(=O)ON=C1CCCCC1,[N]=C1CCCCC1,[NH]CCCCCCNC(=O)ON=C1CCCCC1,41.420052570079655,2.5846599517883943e-09,-8.587596586332596,6.047941379997096
1,CC(C)=NOC(=O)Nc1ccccc1,[O]C(=O)Nc1ccccc1,CC(C)=[N],[NH]c1ccccc1,42.73092095998031,0.15356910966471063,-0.8136961335970199,-14.966113499988529
2,CC(C)=NOC(=O)Nc1ccc(Cl)cc1,[O]C(=O)Nc1ccc(Cl)cc1,CC(C)=[N],[NH]c1ccc(Cl)cc1,43.41114179997507,3.3332315831704107,0.5228654882177133,-15.872237939947983
3,CC(C)=NOC(=O)Nc1cc(Cl)ccc1Cl,[O]C(=O)Nc1cc(Cl)ccc1Cl,CC(C)=[N],[NH]c1cc(Cl)ccc1Cl,44.4879489599673,3.5828028957405116,0.5542229165538175,-15.983307210095598
4,CC(C)=NOC(=O)Nc1cccc(Cl)c1,[O]C(=O)Nc1cccc(Cl)c1,CC(C)=[N],[NH]c1cccc(Cl)c1,43.63641788990568,0.3891278699453925,-0.40990766323367883,-15.272965889962867
5,CNC(=O)ON=C(c1ccccc1)c1ccccc1,CNC([O])=O,[N]=C(c1ccccc1)c1ccccc1,[NH]C,40.98016806004882,611.612844448183,2.7864765974309202,-14.878889609959058
6,O=C(Nc1ccc(F)cc1)ON=C1CCCCC1,[O]C(=O)Nc1ccc(F)cc1,[N]=C1CCCCC1,[NH]c1ccc(F)cc1,38.679088890008636,2.279573442466817,0.35785358870480244,-1.9396334100253307
7,CC(C)(C)C1CCC(=NOC(=O)c2ccc([N+](=O)[O-])cc2)CC1,[O]C(=O)c1ccc([N+](=O)[O-])cc1,CC(C)(C)C1CCC(=[N])CC1,[c]1ccc([N+](=O)[O-])cc1,41.71247222991208,13019.001559179633,4.114577679012077,-16.00903512003064
8,CC(C)(C)C1CCC(=NOC(=O)c2cccc([N+](=O)[O-])c2)CC1,[O]C(=O)c1cccc([N+](=O)[O-])c1,CC(C)(C)C1CCC(=[N])CC1,[c]1cccc([N+](=O)[O-])c1,40.25162895003338,291.6448182989602,2.4648542646537086,-16.00903512003064
9,O=C1C=CC(=NOC(=O)c2cccc([N+](=O)[O-])c2)C=C1,[O]C(=O)c1cccc([N+](=O)[O-])c1,[N]=C1C=CC(=O)C=C1,[c]1cccc([N+](=O)[O-])c1,46.93900301998553,145034.6042192074,5.161471634155477,2.0758030800382334
10,O=C(Nc1ccccc1)ON=C1CCCC1,[O]C(=O)Nc1ccccc1,[N]=C1CCCC1,[NH]c1ccccc1,42.666287430000814,0.5510706347975679,-0.25879273084562726,2.4052458299912063
11,O=C(ON=C1CCCCCCCCCCC1)c1cccs1,[O]C(=O)c1cccs1,[N]=C1CCCCCCCCCCC1,[c]1cccs1,44.98556439006639,36.705541470286796,1.5647316350502485,2.4052458299912063
12,CC(C)=NOC(=O)Nc1ccc(Cl)c(Cl)c1,[O]C(=O)Nc1ccc(Cl)c(Cl)c1,CC(C)=[N],[NH]c1ccc(Cl)c(Cl)c1,44.05935962997929,15.19584636747019,1.1817248941155585,-14.966113499988529
13,CCc1cccc(C)c1NC(=O)ON=C(C)C,CCc1cccc(C)c1NC([O])=O,CC(C)=[N],[NH]c1c(C)cccc1CC,40.71473133000559,0.0010688757278757791,-2.9710727848147163,9.833709209998462
14,CC(C)=NOC(=O)Nc1cccc([N+](=O)[O-])c1,[O]C(=O)Nc1cccc([N+](=O)[O-])c1,CC(C)=[N],[NH]c1cccc([N+](=O)[O-])c1,45.33257742004635,50618.75806721148,4.704311485524457,1.4376254100086658
15,Cc1cc(Cl)ccc1NC(=O)ON=C1CCCCC1,Cc1cc(Cl)ccc1NC([O])=O,[N]=C1CCCCC1,[NH]c1ccc(Cl)cc1C,42.18498725993187,9.49403549271111,0.9774508509614196,-15.854040149993928
16,COc1ccccc1NC(=O)ON=C(C)C,COc1ccccc1NC([O])=O,CC(C)=[N],[NH]c1ccccc1OC,42.43222620002105,18.79669229243156,1.2740814319481748,-14.878889609959058
17,CCc1cccc(CC)c1NC(=O)ON=C1CCCCC1,CCc1cccc(CC)c1NC([O])=O,[N]=C1CCCCC1,[NH]c1c(CC)cccc1CC,39.8261771699661,0.0007130346496334404,-3.1468893652687964,-18.21912534001519
18,CC(C)=NOC(=O)Nc1ccc(Cl)cc1Cl,[O]C(=O)Nc1ccc(Cl)cc1Cl,CC(C)=[N],[NH]c1ccc(Cl)cc1Cl,44.349269249960734,11.222325364157356,1.0500828558671484,-15.80572187997324
19,CC(C)=NOC(=O)Nc1ccc(C)c(C)c1,Cc1ccc(NC([O])=O)cc1C,CC(C)=[N],[NH]c1ccc(C)c(C)c1,42.06952542000936,3.066238942847279,0.4866059951095679,-15.603036149985595
20,O=C(Nc1ccc(Cl)cc1Cl)ON=C1CCCCC1,[O]C(=O)Nc1ccc(Cl)cc1Cl,[N]=C1CCCCC1,[NH]c1ccc(Cl)cc1Cl,40.210213290137936,12.682085972460206,1.103190692963741,-16.231173659969173
21,Cc1cccc(Cl)c1NC(=O)ON=C1CCCCC1,Cc1cccc(Cl)c1NC([O])=O,[N]=C1CCCCC1,[NH]c1c(C)cccc1Cl,38.28062003994458,0.01511109234657772,-1.8207041403635582,-1.986696659977847
22,CC(C)=NOC(=O)Nc1ccc(C)c(Cl)c1,Cc1ccc(NC([O])=O)cc1Cl,CC(C)=[N],[NH]c1ccc(C)c(Cl)c1,43.45695002993075,2.5905281619960103,0.4133883179251999,-15.9625993800052
23,O=C(ON=C1CCCCCCCCCCC1)c1ccc(F)cc1,[O]C(=O)c1ccc(F)cc1,[N]=C1CCCCCCCCCCC1,[c]1ccc(F)cc1,47.277230909987665,0.38930932756118136,-0.40970519078524953,-16.42068167999009
24,CC(C)=NOC(=O)Nc1ccccc1C,Cc1ccccc1NC([O])=O,CC(C)=[N],[NH]c1ccccc1C,42.23142300002865,0.6145073654028654,-0.21147290735091773,-17.488703700004496
