,Smiles
0,CC(=O)O/N=C(\C)c(cc1)c(c2c13)cccc2CC3
1,CC(=O)O\N=C(CC)\c(cc1)c(c2c13)cccc2CC3
2,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)-c2ccc(cc2)C(=O)c3ccccc3
3,c1cccc(c12)C(=O)N(C2=O)Cc3ccc(cc3)/C(CC)=N\OC(=O)C
4,CCCCCC(=N/OC(=O)C)\c(cc1)cc(c12)nc(C)n2CCCC
5,CCCCC(=N/OC(=O)C)\C(=O)c(cc1)cc(c12)nc(C)n2CCCC
6,N#Cc1ccc(cc1)-c2ccc(cc2)/C(C)=N\OC(=O)C
7,c1ccccc1C/C(=N/OC(=O)C)c2ccc(cc2)-c3ccccc3
8,CC(=O)O/N=C(\C(C)(C)C)c1ccc(cc1)-c2ccccc2
9,c1cc([N+](=O)[O-])ccc1-c2ccc(cc2)C(=O)/C(C)=N/OC(=O)CCC
10,c1cc([N+](=O)[O-])ccc1-c2ccc(cc2)C(=O)/C(C)=N/OC(=O)CCCCC
11,c1ccccc1-c2ccc(cc2)/C(=N/OC(=O)C)CCCCC
12,[O-][N+](=O)c1ccc(cc1)/C(=N\OC(=O)C)c2ccc(cc2)-c3ccccc3
13,c1ccccc1/C(=N\OC(=O)C)C(=O)c2ccc(cc2)-c3ccccc3
14,O=[N+]([O-])c(c1)ccc(c12)n(COCC)c3c2cc(cc3)C(=O)/C(C)=N\OC(=O)C
15,c1cc(OC)cc(c12)c3c(n2CC)ccc(c3)C(=O)/C(C)=N\OC(=O)C
16,CC(=O)O/N=C(\C(=O)C)C(=O)c1ccc(cc1)-c2ccc(Br)cc2
17,CC(=O)O/N=C(\C(=O)C)C(=O)c(cc1)cc(c12)cccc2
18,CC(=O)O/N=C(\C(=O)C)C(=O)c(c1)ccc(c12)c3c(cccc3)C2(CCCC)CCCC
19,c1cccc(c12)cc(cc2)C(=O)/C(C(=O)C)=N/OC(=O)c3ccccc3
20,CC(=O)O/N=C(\C(=O)C)C(=O)c(cc1)cc(c12)cccc2
21,c1ccccc1C(=O)O/N=C(\C(=O)C)C(=O)c2ccc(cc2)-c3ccccc3
22,OC(=O)c1ccccc1c(c(c23)cccc2)=C4[C@@H]3C=C(C=C4)/C(C)=N/OC(=O)C
23,CC(=O)O/N=C(/CCC)c(cn1CC)c(c12)cccc2
24,CC(=O)O/N=C(\CC)c1c(O)c(cc(C)c1)-n(n2)nc(c23)cccc3
25,O=C(C)O\N=C(C)\C(=O)c(c1)ccc(c1Sc(c23)cccc2)N3CCCCCCCCCC
26,CC(=O)O/N=C(\C)C(=O)c1ccc(cc1)CN(C2=O)C(=O)c(c23)cccc3
27,n1cccc(c12)c(/C(C)=N/OC(=O)C)ccc2OCc3ccccc3
28,CCCCCC(=N\OC(=O)C)\c(cc1)cc(c12)Cc3c2ccc(c3)/C(=N/OC(=O)C)CCCCC
29,CCCCCC(=N\OC(=O)C)\c(cc1)cc(c12)Cc3c2ccc(c3)/C(=N/OC(=O)C)CCCCC
30,CC(=O)O\N=C(C)\c(cc1[N+](=O)[O-])cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)/C(C)=N\OC(=O)C
31,CC(=O)O\N=C(C)\c(cc1[N+](=O)[O-])cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)/C(C)=N\OC(=O)C
32,CC(=O)O\N=C(CC)\c(cc1)cc(c12)C(CCCC)(CCCC)c3c2ccc(c3)/C(CC)=N\OC(=O)C
